,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
94,Private 2-Hour Walking Crime Tour in Toronto,Walking Tours,2 hours,$30.59,per adult,Free cancellation,By Toronto Crime Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d23431620-Reviews-Toronto_Crime_Tours-Toronto_Ontario.html
95,Underground Toronto PATH Tour,Walking Tours,2 hours,$28.90,per adult,Free cancellation,By Top Dog Tours Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d17747774-Reviews-Top_Dog_Tours_Toronto-Toronto_Ontario.html
96,2 Villages & The Main Street,Walking Tours,150–180 minutes,$27.37,per adult,Free cancellation,By Buzz Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d12289740-Reviews-Buzz_Tours-Toronto_Ontario.html
97,,1,3,,,5,,Toronto,Canada,
98,,,,,,,Clear all filters,Toronto,Canada,
99,Toronto Obsession III Brunch Cruise,Water Tours,2–3 hours,$75.89,per adult,,By Cruise Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d8283628-Reviews-Cruise_Toronto-Toronto_Ontario.html
100,Yorkville-Bloor: Discover Canadian Haight-Ashbury on a Self-Guided Audio Tour,Walking Tours,40–60 minutes,$5.00,per adult,,By VoiceMap Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d21087151-Reviews-VoiceMap_Toronto-Toronto_Ontario.html
101,West Queen West: Uncover the cultural heart of Toronto on an audio tour,City Tours,50–75 minutes,$5.20,per adult,,By VoiceMap Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d21087151-Reviews-VoiceMap_Toronto-Toronto_Ontario.html
102,Scavenger Hunt Adventure in Toronto by Operation City Quest,Self-guided Tours & Rentals,2 hours,$11.27,per adult,Free cancellation,By Operation City Quest Scavenger Hunt of Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d19753832-Reviews-Operation_City_Quest_Scavenger_Hunt_of_Toronto-Toronto_Ontario.html
103,Financial District and City Halls: An audio tour of Toronto's seminal buildings,Walking Tours,30–45 minutes,$5.20,per adult,,By VoiceMap Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d21087151-Reviews-VoiceMap_Toronto-Toronto_Ontario.html
104,Toronto Walking Tour,Walking Tours,2–30 minutes,$25.84,per adult,Free cancellation,By Toronto Walking Tour,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d17583271-Reviews-Toronto_Walking_Tour-Toronto_Ontario.html
105,Algonquin Group Camping Adventure (3 Day),Adventure Tours,3 days,$382.42,per adult,Free cancellation,By Lake Fever Wilderness Co.,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d17591963-Reviews-Lake_Fever_Wilderness_Co-Toronto_Ontario.html
