,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
278,Zeitz MOCAA,Skip-the-Line Tours,1–3 hours,$14.36,per adult,,By Zeitz MOCAA,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d12926847-Reviews-Zeitz_MOCAA-Cape_Town_Central_Western_Cape.html
279,Cape Town Airport Private Transfer,,45–60 minutes,$21.88,per group,Free cancellation,By Morkel Travel & Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d17436929-Reviews-Morkel_Travel_Tours-Cape_Town_Central_Western_Cape.html
280,Robben Island Half Day Tour with Diamond Museum experience,Bus Tours,5 hours,$107.72,per adult,,By Kabura Travel Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d8129742-Reviews-Kabura_Travel_Tours-Cape_Town_Central_Western_Cape.html
281,Cape Town City Tour,Bus Tours,4–5 hours,$116.25,per adult,Free cancellation,By Jap Shuttles and Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d17736095-Reviews-Jap_Shuttles_and_Tours-Cape_Town_Central_Western_Cape.html
282,Wine tasting Stellenbosch Franschoek Paarl full Day,Bus Tours,6–8 hours,$87.53,per adult,Free cancellation,By Raw Tours Cape Town,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d17781682-Reviews-Raw_Tours_Cape_Town-Cape_Town_Central_Western_Cape.html
283,Table Mountain Hike at Sunrise,,4 hours,$118.35,per adult,Free cancellation,By Hike Lion's Head (Cape Town),Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d11946568-Reviews-Hike_Lion_s_Head_Cape_Town-Cape_Town_Central_Western_Cape.html
284,Robben Island Heritage & Table Mountain Tour,Full-day Tours,6–7 hours,$104.54,per adult,Free cancellation,By Bantu Safaris - Cape Town,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d18963951-Reviews-Bantu_Safaris_Cape_Town-Cape_Town_Central_Western_Cape.html
285,"Robben Island, Bo-kaap,Mandela Glasses . Robben Island confirmed 24 hours prior",Bus Tours,5–6 hours,$184.63,per adult,,By ML Sultan Travel & Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d15697029-Reviews-ML_Sultan_Travel_Tours-Cape_Town_Central_Western_Cape.html
286,"Private Tour : Cape Peninsula, Chapman's Peak and Penguin Colony",Full-day Tours,7–9 hours,$237.17,per adult,Free cancellation,By Up and Down Travel Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d19426051-Reviews-Up_and_Down_Travel_Tours-Cape_Town_Central_Western_Cape.html
287,Half Day Boulders Penguins and Cape Point Shared Tour,Bus Tours,5 hours,$47.18,per adult,Free cancellation,By Kabura Travel Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d8129742-Reviews-Kabura_Travel_Tours-Cape_Town_Central_Western_Cape.html
288,Cape Town - Table Mountain and Robben Island Private Tour including City Stops,Bus Tours,5–8 hours,$59.49,per adult,Free cancellation,By Cape Town Tours by Travel Host Africa Travel & Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d20884406-Reviews-Cape_Town_Tours_by_Travel_Host_Africa_Travel_Tours-Cape_Town_Central_Western_Cap.html
289,,1,9,,,11,,Cape Town,South Africa,
290,,,,,,,Clear all filters,Cape Town,South Africa,
